User_ID,Transaction_ID,Date_Time,IP_Address,Latitude,Longitude,Amount,Merchant_Category,Payment_Method,Device,Location_City,Suspicious,Risk_Profile,Transaction_Frequency,Location_Match
313,bdd640fb-0667-4ad1-9c80-317fa3b1799d,2024-04-06 08:37:40.076424,113.163.209.250,56.395715,-133.325072,1873.33,Food,Credit Card,Desktop,Johnsonland,1,Low,27,0
127,9a1de644-815e-46d1-bb8f-aa1837f8a88b,2024-01-10 07:07:54.929023,103.173.150.154,-30.825922,61.167269,3660.24,Grocery,Net Banking,Desktop,Lisatown,0,Low,12,1
347,b2b9437a-28df-4ec4-8e4a-2bbdc241330b,2024-05-28 01:37:13.558795,124.220.123.53,0.3539115,-125.126275,780.82,Travel,Net Banking,Tablet,South Colinstad,0,Low,41,1
218,0b1f9163-ce9f-457f-83b7-a3a69a8dca03,2024-09-12 16:03:57.158608,7.7.61.8,-68.8472335,116.374558,3005.97,Grocery,Debit Card,Desktop,Mariastad,0,High,35,0
270,11ce5dd2-b45e-41f0-b139-d32c93cd59bf,2024-01-17 01:19:17.845259,116.161.85.68,-68.581005,-55.021345,4849.58,Electronics,Net Banking,Desktop,South Joshuastad,0,Medium,33,1
224,35a240ae-5af3-4553-9ec4-2e0829a3b2e9,2024-08-22 19:16:28.643892,132.145.219.213,73.512359,160.901372,909.94,Food,UPI,Tablet,New Jessica,0,High,3,1
210,451b4cf3-6123-4df7-b656-af7229d4beef,2024-12-12 16:33:52.534660,142.14.44.201,-2.9510165,-149.968543,2624.26,Fashion,UPI,Desktop,Port Antonio,0,High,14,1
184,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-03-14 22:04:58.158234,206.132.117.214,-32.9234975,171.885954,3059.65,Travel,Net Banking,Desktop,Fostermouth,0,Low,39,1
482,3f22faf8-23be-401d-83cf-2fde24933b83,2024-09-18 00:21:30.359989,7.109.110.182,66.640927,34.426514,1832.44,Food,UPI,Tablet,Jeffreyberg,0,High,45,1
416,c17af08a-1745-46d8-be57-0ddf827050a8,2024-01-17 12:11:07.951615,74.61.37.32,23.3227025,140.194662,999.17,Electronics,Debit Card,Desktop,South Patrickmouth,0,High,25,1
500,8da0365b-f898-47b9-805c-acec877409a9,2024-10-28 14:00:11.281229,71.84.208.210,54.141875,-36.749319,233.21,Food,Net Banking,Desktop,Danielchester,0,Low,16,1
409,f42d47cc-00d4-4f59-b427-3ca3287d06ca,2024-09-09 23:49:33.709839,181.183.132.38,46.2797615,-122.871125,326.19,Grocery,Net Banking,Tablet,Meaganhaven,0,Medium,27,1
328,5fb8d16c-2720-497d-b2eb-d6899be578c7,2024-09-24 03:41:36.343443,4.1.43.214,70.777963,-5.970041,4042.18,Fashion,UPI,Desktop,Smithstad,0,High,18,0
337,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,2024-04-17 17:46:53.290008,69.10.91.1,-67.0075775,80.914140,3421.48,Electronics,Cash,Mobile,Port Amandaberg,0,High,20,1
46,f264accc-79ac-4b1e-a8e5-6e0c20de435d,2024-07-11 15:06:39.694707,123.98.150.36,-33.145854,109.532383,2476.39,Electronics,Credit Card,Tablet,Lake Larry,0,High,14,1
477,5f987c71-a65e-488e-abf3-ad39fec21bbe,2024-06-02 11:50:03.431490,9.239.162.25,-23.4533425,-59.366535,1294.64,Food,UPI,Desktop,West Andrewside,0,Medium,6,1
436,01d74256-3860-4ab6-96a4-02f23ae8cc93,2024-01-25 20:57:23.988383,142.166.251.117,-71.907364,-163.135297,2600.82,Fashion,Credit Card,Desktop,Chadbury,0,Low,31,1
87,36d8393a-7c44-4fe7-ab42-20a7474a493b,2024-07-07 22:14:03.624721,191.32.30.255,-24.7709255,73.925412,4847.95,Travel,UPI,Desktop,Leeville,0,Low,9,1
56,6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,2024-05-24 00:49:08.118995,209.187.197.52,85.4106205,166.915112,4474.24,Fashion,Credit Card,Mobile,North Richardmouth,0,High,33,1
269,3fa7f104-1bf9-4e27-9c96-925eccf3a171,2024-03-08 03:00:56.218883,5.31.23.229,23.247990,-81.490610,443.37,Fashion,Credit Card,Mobile,Stevenland,0,Medium,46,0
51,db20a56e-dc81-4fe7-8eda-8bbb71710434,2024-07-11 19:29:52.739448,64.241.202.234,-64.964965,-53.094728,1627.33,Fashion,Cash,Tablet,South Todd,0,High,3,1
422,e7067ef4-66aa-4385-9d59-ba7136b82481,2024-01-21 13:02:42.336482,56.252.171.137,-18.8100965,64.280759,4143.86,Grocery,UPI,Mobile,Rodneyside,0,Medium,2,1
89,27a0c3d7-7c96-4f79-b7e9-9acaa97065e1,2024-03-07 12:47:11.192390,112.239.140.45,65.472524,111.088834,2713.94,Electronics,Debit Card,Desktop,Lake Leeton,0,Low,41,1
54,eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,2024-10-25 18:13:51.372735,105.72.34.245,-40.117991,-143.212891,373.68,Travel,Credit Card,Tablet,Lake Michellefurt,1,Low,42,0
295,91d63f78-e3e9-4e99-b10c-718b1eb0e38a,2024-03-27 06:20:27.388165,133.63.55.85,22.534830,172.924530,3861.45,Fashion,Credit Card,Tablet,Sarahborough,0,Low,5,0
82,3d1a85dd-506e-4a9a-b758-588dab73295b,2024-04-03 01:27:42.860147,83.51.38.240,32.735287,-10.253663,4077.49,Food,Cash,Tablet,North Stephenshire,0,Low,17,1
160,89a2688b-12c1-46e0-9998-5f15ff002d4d,2024-03-15 16:20:31.062332,122.202.197.36,-71.533974,-48.850804,3856.58,Grocery,Cash,Mobile,Justinmouth,0,High,33,1
490,4d71c366-b41b-4143-8b10-550cd5704f32,2024-08-02 07:23:23.466544,196.8.2.199,89.278163,117.749834,580.23,Fashion,Cash,Tablet,Sarahville,0,High,15,1
416,43b409ef-2260-470f-a0cc-edc5f05db76e,2024-02-10 10:36:01.251417,73.242.219.202,-16.8920825,-28.733253,1655.16,Grocery,Net Banking,Mobile,Lake Matthew,0,High,13,1
490,439472e6-da58-4e8a-a25d-6b29afffcfd2,2024-06-26 01:48:45.033451,112.208.18.128,-65.2238195,160.528868,1626.59,Grocery,UPI,Mobile,Calderonton,0,Medium,45,1
282,217d65a0-c568-41cd-9563-f61600e85ece,2024-08-11 05:16:09.264904,123.136.225.14,58.0905855,49.612665,4436.18,Electronics,Cash,Desktop,North Charlesberg,0,Medium,24,1
378,5e84f058-d5a8-44eb-8939-23de8babce3b,2024-07-23 02:07:27.861367,106.10.4.80,-78.7716505,-14.505060,3566.51,Electronics,Net Banking,Tablet,Rachelton,0,Low,45,1
308,ae9bec36-35c7-436c-9b99-62c6e61fecc0,2024-03-28 10:12:37.904662,90.2.22.79,76.6075545,-97.024809,3855.06,Fashion,Cash,Desktop,Port Francisco,0,Medium,40,1
68,e1a47e10-2d53-4dd0-8f8e-bc5accc56569,2024-05-24 10:50:35.422753,109.80.161.180,20.5184105,179.653651,2138.28,Travel,Credit Card,Desktop,West Erik,0,High,5,1
434,df465290-61ee-411a-9bac-27a7b386f7a4,2024-01-14 13:37:19.298008,22.98.230.142,33.561709,7.721436,158.11,Electronics,Debit Card,Mobile,Loribury,0,High,2,1
180,3170f437-a8f7-4f5a-860e-df5b39118497,2024-05-19 14:33:52.571749,126.35.139.29,-15.0729545,8.520142,2543.34,Grocery,Credit Card,Desktop,Frazierside,0,Medium,2,1
423,1d870966-0710-4430-b071-d87954c63cd8,2024-11-03 06:43:01.484449,122.31.172.212,-79.730412,-121.801825,2052.5,Grocery,UPI,Mobile,Reedmouth,0,High,20,1
321,82ec9f2d-fbf6-416f-9b30-80d56fb78271,2024-02-10 12:25:33.535073,214.21.32.21,-21.6234475,-156.170163,385.82,Fashion,Credit Card,Desktop,Smithside,0,High,32,1
327,bdf070aa-f0b5-456b-b82c-9074afd5dea5,2024-09-15 05:29:55.527166,99.115.76.13,-71.2165495,176.609890,4648.56,Grocery,Credit Card,Desktop,Cindyville,0,High,8,1
33,81d2c7de-4ce1-4b90-a669-7833b841d0a0,2024-04-18 08:40:09.515965,57.192.237.141,-10.635662,117.647935,4357.43,Fashion,Net Banking,Desktop,East Robert,0,High,7,1
356,bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,2024-11-12 07:23:02.860230,147.66.195.70,19.004973,114.171548,4462.9,Travel,Debit Card,Desktop,West Justinchester,0,Medium,22,1
347,a79ac9aa-9b4e-4c24-9479-e1e6c9277d9b,2024-04-22 21:41:02.182472,22.214.164.83,47.2172245,74.039896,4480.56,Electronics,Net Banking,Tablet,Lake Christopher,0,Low,38,1
465,9e87e04c-a208-4977-a9f2-533683f4a9a9,2024-04-27 10:29:01.667078,163.194.5.146,-6.672410,-59.396961,1140.45,Food,Credit Card,Desktop,East Andrew,0,Low,24,1
42,9c7c7377-79a2-4903-bbe3-3b243eae0032,2024-10-24 17:09:16.758606,90.134.51.147,79.0513575,129.060961,4303.79,Travel,Cash,Desktop,Lake Heather,0,Low,8,1
112,25c73c44-3e75-43b4-a64f-a6637e8f8095,2024-08-17 20:34:05.552401,70.210.83.133,24.124313,-62.510560,2087.64,Electronics,Credit Card,Mobile,Port Susan,0,Low,34,1
92,8eb22579-0cdb-4ca4-b6ec-bdd68498e113,2024-03-28 07:25:24.234889,168.233.181.93,-54.207058,69.453439,1688.74,Food,Net Banking,Desktop,Stephaniemouth,0,Low,33,1
340,e45b712e-b822-4688-90a4-44329cd6c852,2024-06-25 20:30:27.154022,175.145.59.39,-47.2763755,74.838897,2594.43,Fashion,Cash,Mobile,Greenbury,0,Medium,26,1
105,c40c5d91-46fd-4062-a33d-c7afd701410d,2024-09-29 11:12:09.478141,23.167.230.243,-16.2883095,56.154802,4858.94,Fashion,Credit Card,Desktop,Lake Justinview,1,High,21,0
360,8a476a87-e49d-481d-91d8-7c6455fa1ab8,2024-01-29 05:33:00.214890,110.32.233.157,-48.981650,-65.134923,1259.66,Electronics,Debit Card,Tablet,South Rickside,0,High,32,1
443,34f3193c-0ff0-455c-aa70-2e2f7746d0ba,2024-10-18 19:29:52.677278,33.64.2.241,64.5357015,24.215510,1424.92,Food,Debit Card,Tablet,Smithstad,0,Low,8,1
454,da7b9095-63d6-4a39-80e3-befd4c71e0fe,2024-11-08 09:30:35.370916,173.195.169.202,41.0581035,-62.198905,2513.89,Electronics,Debit Card,Mobile,Ryantown,0,Low,42,1
403,addc3e13-ab3b-4d37-960c-95ee638c254c,2024-10-06 15:18:24.381146,190.244.220.47,-55.740176,154.071663,4541.42,Electronics,Net Banking,Desktop,South Brittanytown,0,Medium,29,1
199,22bd3388-6db9-4102-a48b-3dbe157d94a1,2024-10-30 17:03:27.350505,98.20.204.213,11.764919,-4.253875,2447.77,Grocery,Debit Card,Tablet,South Mark,1,Medium,48,0
442,473bd358-610e-4a64-a130-1617c2dff335,2024-09-20 11:23:39.466526,174.4.166.239,-68.0134635,72.494060,1211.03,Electronics,Cash,Desktop,Lake Amberstad,0,High,20,1
227,c7fee39f-1190-4938-a66f-d7f739669fa7,2024-12-01 09:29:18.092053,65.252.101.62,-23.620394,-72.969050,1188.95,Electronics,Debit Card,Tablet,New Elijahberg,0,High,20,1
308,90604f62-1d48-4071-ab61-a7b1793b4c32,2024-11-28 01:21:56.781485,24.51.37.251,9.024544,-89.918890,3161.9,Food,UPI,Tablet,Port Loriport,0,Medium,42,1
363,edcb8cb6-0692-4c63-9424-aed51bac5c15,2024-04-19 07:08:31.713675,152.5.7.122,16.476114,-73.522511,452.36,Electronics,Cash,Mobile,New Hannahbury,0,Medium,11,1
431,4d3485c5-c5c1-4eb4-b27b-3d901a16342c,2024-10-24 21:49:33.741187,135.191.93.186,61.916362,-157.951177,933.41,Grocery,Net Banking,Mobile,Amandastad,0,Low,29,1
351,575aed2c-a5c5-450c-8186-a57611a72609,2024-01-05 10:23:15.426492,63.95.118.251,-61.669626,52.746102,3388.14,Electronics,Cash,Desktop,Cynthiamouth,0,High,29,1
383,2d174fc9-6f7c-45ea-a72a-6d8eb5122df8,2024-09-14 02:14:04.594377,195.20.144.122,75.332712,108.929379,1133.25,Fashion,UPI,Desktop,Marshallshire,0,Low,35,1
103,3ed8c56c-da09-4fa0-9282-8d8044b591f7,2024-10-18 01:20:02.389304,92.217.240.163,-24.5384075,69.488458,3455.0,Travel,Net Banking,Desktop,Rogersfort,0,Medium,46,1
262,7cd0129d-2e8d-4e87-9334-20e6d9d80b8d,2024-03-15 07:38:36.681525,165.114.7.36,-14.9297475,140.058281,688.47,Food,Net Banking,Mobile,Angelahaven,0,High,28,1
108,3dc98290-15ea-4b27-b0e9-12f2f2b43abf,2024-09-09 06:51:44.730015,23.176.187.209,37.8002705,166.766476,4623.54,Fashion,Credit Card,Desktop,Westtown,0,Low,45,1
283,6786d506-38ba-4abc-8b53-05e517d2582e,2024-08-30 09:00:08.657119,55.158.7.245,37.039895,117.143528,3300.26,Fashion,Credit Card,Tablet,Ronaldside,0,High,9,1
148,7428a656-b3ee-4d3b-9a10-412954aebd1b,2024-04-04 22:02:38.029538,113.238.52.220,-38.303548,-10.591488,2648.72,Food,UPI,Tablet,Lake Amandaburgh,0,Low,22,0
112,7bf47042-bd15-41c8-b764-fbda3108d448,2024-04-06 20:59:28.042405,146.28.166.147,-63.0152285,-75.783917,4486.18,Food,Debit Card,Tablet,Jeremyburgh,0,High,26,1
118,88bd13d1-b540-430e-839f-3a254d6168bd,2024-02-14 08:23:34.676410,67.125.90.177,58.541166,-23.160335,1695.81,Electronics,UPI,Mobile,Lake Miranda,0,Low,30,1
446,0323d342-df6a-4f93-9a43-2f0a7daa39f0,2024-07-20 03:06:37.305419,30.24.82.7,1.4575535,-81.020509,4485.65,Grocery,Net Banking,Desktop,West Shelleyfort,0,Low,50,1
61,6694c343-10ba-48e3-9276-2bdc1d34d08e,2024-06-21 06:55:45.198726,131.110.84.192,-49.271091,-99.900159,3210.52,Grocery,Net Banking,Desktop,Christopherbury,0,Low,35,1
412,6a8a616f-c3b2-40d0-8edd-dfcd1e52d770,2024-07-31 10:19:06.513729,163.156.106.28,50.2769965,24.213899,4492.87,Grocery,UPI,Desktop,Kerrport,0,Medium,29,0
60,6dc7cac7-fd72-4050-96a9-954fdc33e1f9,2024-04-16 23:50:18.206574,134.89.215.193,-34.2223595,155.820825,508.26,Fashion,Debit Card,Desktop,West Donna,0,Medium,25,0
387,8d4f5d27-2c7f-4b79-bd67-cde92834e4c0,2024-01-27 07:11:41.632730,92.213.13.122,69.399978,72.282341,804.88,Electronics,Cash,Mobile,Antonioport,0,Low,11,1
21,dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,2024-06-08 01:47:40.829087,144.238.118.132,77.7877305,136.640873,3260.15,Fashion,Debit Card,Tablet,South Danny,0,Low,12,1
497,e88da719-2624-4b40-a5cb-63a2398d1ca6,2024-04-03 01:36:46.503451,67.209.28.19,-45.4604415,-14.852168,1187.01,Food,Credit Card,Desktop,Scottmouth,0,Low,25,1
274,670acc5c-b321-4f21-8dd8-eb85b04d3376,2024-11-26 06:38:35.566552,15.230.149.208,27.5100015,-136.813109,3248.51,Travel,Cash,Mobile,South Jessicaview,0,Low,12,1
