User_ID,Transaction_ID,Date_Time,IP_Address,Latitude,Longitude,Location_City,Amount,Payment_Method,Device,Merchant_Category,Suspicious
1,aae8adfa-ec05-4740-a39f-e0e524900419,2024-10-19 09:57:12,51.86.126.199,-22.062453,-56.564220,Ericstad,5418.82,PayPal,Tablet,entertainment,0
1,cc175a7b-3e63-4443-baef-c53d91772ac7,2024-08-01 00:49:53,137.172.244.216,73.6473865,13.351764,Riveraburgh,1667.46,Credit Card,Desktop,electronics,0
1,7be15712-3120-43c8-8b84-e3875ea2c912,2024-02-27 11:24:02,90.234.119.251,72.614177,-125.352522,New Ann,1791.95,UPI,Desktop,entertainment,0
1,54d098b3-db36-4623-a996-9ca490c12ffd,2024-09-18 21:52:10,200.242.219.28,-56.0838225,154.079279,Fitzgeraldtown,9590.64,PayPal,Tablet,entertainment,0
1,6bbd6f96-94e4-4bef-93bb-a880adbaacb5,2024-08-21 14:21:10,131.247.110.108,-9.1517115,-57.631733,Port Krista,2621.23,UPI,Desktop,fashion,0
1,e486774d-471d-470d-8967-1cca940ab953,2024-12-04 14:40:17,191.180.130.71,74.7666415,-74.286587,Hendersonstad,7232.19,Credit Card,Tablet,fashion,0
1,d556c36a-eb1a-418f-8d92-44d62efdac74,2024-09-25 01:11:06,156.253.6.100,-55.150496,21.341818,East Ambershire,2385.81,Debit Card,Mobile,grocery,0
1,ee9d31cc-a9af-4fb1-ab42-bb11eb5578f3,2024-07-08 13:07:52,14.140.122.240,43.0228575,52.616347,Lewisstad,2063.09,Net Banking,Tablet,entertainment,1
1,56d26a14-aa10-47ce-9bad-1922e924fe15,2024-12-14 08:39:21,159.114.145.133,21.5573725,-166.644550,Bendermouth,8946.92,UPI,Tablet,electronics,1
1,79f97b32-544d-443c-80eb-707f669b9763,2024-06-14 11:52:35,54.68.101.48,-66.2405765,-25.490142,Thomasberg,1694.7,Net Banking,Desktop,electronics,1
1,019f28f0-ee90-4f6a-9030-16e3c97c6bdb,2024-06-30 18:50:19,215.114.20.249,-17.2150645,-153.014357,Brianland,8045.03,Debit Card,Mobile,electronics,0
1,d068c710-e010-4e3a-8f91-a93cd48505b5,2024-05-17 21:06:19,188.248.85.154,31.795520,152.442527,New Andrea,4490.01,PayPal,Desktop,electronics,1
1,adceb5f2-1048-4584-8e15-a4116480405d,2024-01-17 06:35:40,121.206.249.57,14.0246065,134.197495,East Allison,339.76,Credit Card,Desktop,grocery,1
1,fe86e3fd-8187-47da-92f6-36b7646d7918,2024-02-10 07:06:52,96.184.154.125,34.6560415,11.288021,Janetberg,185.05,Net Banking,Tablet,grocery,0
1,4af1c5b3-f643-4a5d-8680-a00a8f07a5bd,2024-03-09 04:36:43,4.120.66.130,1.9695215,-177.552178,Smithfurt,9197.12,Net Banking,Tablet,fashion,0
1,9421f471-1661-41e6-83e9-696faa7f8b15,2024-06-21 21:28:14,176.237.208.11,89.1153105,161.066934,West Kevinfurt,7759.21,Net Banking,Desktop,entertainment,0
1,96bdd1ac-4bc3-4766-96a5-0d6a26a60649,2024-05-20 22:57:13,214.30.174.218,-78.733939,171.649878,Lake Matthewburgh,3859.77,Net Banking,Tablet,fashion,1
1,0fef5f25-1229-4434-9bbc-ce61184caf2a,2024-01-18 21:15:16,126.179.56.121,-11.947574,94.465140,Summersport,2340.99,PayPal,Mobile,fashion,1
1,8962c833-5daf-4333-ad93-6b1f28926bc5,2024-02-07 20:57:54,121.23.97.111,-63.489079,-65.657695,North Jerry,3120.29,UPI,Tablet,electronics,0
1,b9e48855-9a3b-4955-a7f8-862bc27841ba,2024-12-02 05:11:08,182.190.179.38,-81.8766295,-114.501982,Dylanchester,1854.73,PayPal,Desktop,grocery,0
1,2ea00f96-8f17-4ec9-ab45-1aff296b00de,2024-07-15 16:05:51,219.89.211.170,-9.5604295,124.337196,Jorgechester,1902.8,UPI,Desktop,electronics,0
1,4ae53014-5313-4c65-b1e3-cc4536b4b218,2024-02-14 03:48:57,144.223.194.210,64.6442805,80.462286,Williamburgh,9843.44,Net Banking,Mobile,food,1
1,646659ef-df22-407c-af77-a903dc58c7d3,2024-01-04 03:01:32,101.152.40.33,-16.567821,-102.934688,Karltown,1796.9,Debit Card,Tablet,entertainment,1
1,3eafc0c2-d23b-4e7b-b137-1be2bee33ed3,2024-05-18 09:25:19,92.180.138.227,33.9471045,-20.488491,South Brandonside,2770.43,Debit Card,Tablet,fashion,1
1,cac209c7-4649-44bd-b0cb-ddab1794938f,2024-11-14 08:28:07,38.167.52.117,70.379107,-28.626092,New Nicholasfurt,7554.03,Debit Card,Tablet,entertainment,0
